CODE FOYER;RANG LUMINAIRE;ARMOIRE;ADRESSE;DOMAINE;TYPE SUPPORT;NATURE SUPPORT;HAUTEUR SUPPORT;ETAT SUPPORT;OBSERVATION SUPPORT;COFFRET CLASSE II;MISE A LA TERRE MAT;TYPE CROSSE;SAILLIE CROSSE;ETAT CROSSE;OBSERVATION CROSSE;MARQUE LUMINAIRE;MODELE LUMINAIRE;HAUTEUR DE FEU;ETAT LUMINAIRE;TYPE SOURCE;NOMBRE DE LEDS;PUISSANCE ESTIMEE SOURCE;TYPE DE FIXATION;OBSERVATION LUMINAIRE;TYPE RESEAU;OBSERVATION RESEAU;X;Y
186/563;1;135;IMPASSE DE MADAME MAINTENON;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98945224082993;42.6713345879085
186/564;1;135;IMPASSE DE MADAME MAINTENON;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98972303078582;42.6713604447545
186/569;1;135;IMPASSE DE MADAME MAINTENON;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98990977256707;42.6713060111538
571;1;135;IMPASSE DE MADAME MAINTENON;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;LAMPE LED;;;TOP;;SOUTERRAIN;;2.99000631990055;42.6714187230132
186/570;1;135;IMPASSE DE MADAME MAINTENON;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.99009674072379;42.6713127732503
186/LA;1;135;IMPASSE DE MADAME MAINTENON;ECLAIRAGE PUBLIC;FACADE;;;;;;;;;;;BEGA;DIVERS;0.5;MOYEN;LAMPE LED;;;APPLIQUE;;SOUTERRAIN;;2.98993187651295;42.6712137175121
186/620;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.99037847036319;42.6709776470118
186/556;1;135;ROND POINT DU LEVANT;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;6;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;SELUX;TESSIA;6;BON;LED;16;;LATERALE;;SOUTERRAIN;;2.99059252721732;42.6710218188206
186/12688;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.99014663584964;42.6709732012299
186/625;1;135;AVENUE MADAME DE LAFAYETTE;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;MOYEN;TRAPPE HS;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98990113346898;42.6709736814087
